OFFICIAL ELECTION RESULTS
Imperial
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"287210MB","PROPOSITION 50","YES","0","0.00%"
"287210MB","PROPOSITION 50","NO","0","0.00%"
"287211MB","PROPOSITION 50","YES","0","0.00%"
"287211MB","PROPOSITION 50","NO","0","0.00%"
"287239MB","PROPOSITION 50","NO","40","69.74%"
"287239MB","PROPOSITION 50","YES","13","69.74%"
"287240MB","PROPOSITION 50","NO","3","50.00%"
"287240MB","PROPOSITION 50","YES","2","50.00%"
"287241MB","PROPOSITION 50","YES","28","49.56%"
"287241MB","PROPOSITION 50","NO","28","49.56%"
"287243MB","PROPOSITION 50","YES","0","0.00%"
"287243MB","PROPOSITION 50","NO","0","0.00%"
"287245MB","PROPOSITION 50","NO","11","60.00%"
"287245MB","PROPOSITION 50","YES","1","60.00%"
"287248MB","PROPOSITION 50","NO","8","66.67%"
"287248MB","PROPOSITION 50","YES","0","66.67%"
"287249MB","PROPOSITION 50","YES","0","0.00%"
"287249MB","PROPOSITION 50","NO","0","0.00%"
"287250MB","PROPOSITION 50","YES","4","46.67%"
"287250MB","PROPOSITION 50","NO","3","46.67%"
"289203MB","PROPOSITION 50","NO","13","80.95%"
"289203MB","PROPOSITION 50","YES","4","80.95%"
"289204MB","PROPOSITION 50","NO","26","44.14%"
"289204MB","PROPOSITION 50","YES","23","44.14%"
"289205MB","PROPOSITION 50","YES","0","0.00%"
"289205MB","PROPOSITION 50","NO","0","0.00%"
"345201","PROPOSITION 50","YES","1345","30.24%"
"345201","PROPOSITION 50","NO","500","30.24%"
"345205MB","PROPOSITION 50","YES","39","43.65%"
"345205MB","PROPOSITION 50","NO","16","43.65%"
"345206MB","PROPOSITION 50","YES","0","0.00%"
"345206MB","PROPOSITION 50","NO","0","0.00%"
"365015","PROPOSITION 50","YES","694","39.09%"
"365015","PROPOSITION 50","NO","579","39.09%"
"365016","PROPOSITION 50","NO","1494","38.46%"
"365016","PROPOSITION 50","YES","1403","38.46%"
"365017MB","PROPOSITION 50","YES","0","0.00%"
"365017MB","PROPOSITION 50","NO","0","0.00%"
"365022MB","PROPOSITION 50","YES","51","34.63%"
"365022MB","PROPOSITION 50","NO","28","34.63%"
"365023MB","PROPOSITION 50","YES","0","0.00%"
"365023MB","PROPOSITION 50","NO","0","0.00%"
"365025MB","PROPOSITION 50","YES","0","0.00%"
"365025MB","PROPOSITION 50","NO","0","0.00%"
"381116MB","PROPOSITION 50","YES","0","0.00%"
"381116MB","PROPOSITION 50","NO","0","0.00%"
"381117MB","PROPOSITION 50","YES","0","0.00%"
"381117MB","PROPOSITION 50","NO","0","0.00%"
"384122MB","PROPOSITION 50","YES","0","0.00%"
"384122MB","PROPOSITION 50","NO","0","0.00%"
"384123MB","PROPOSITION 50","YES","0","0.00%"
"384123MB","PROPOSITION 50","NO","0","0.00%"
"384130MB","PROPOSITION 50","YES","0","0.00%"
"384130MB","PROPOSITION 50","NO","0","0.00%"
"384135MB","PROPOSITION 50","YES","0","0.00%"
"384135MB","PROPOSITION 50","NO","0","0.00%"
"384137MB","PROPOSITION 50","YES","0","0.00%"
"384137MB","PROPOSITION 50","NO","0","0.00%"
"384138MB","PROPOSITION 50","YES","0","0.00%"
"384138MB","PROPOSITION 50","NO","0","0.00%"
"384226MB","PROPOSITION 50","YES","0","0.00%"
"384226MB","PROPOSITION 50","NO","0","0.00%"
"385004MB","PROPOSITION 50","YES","0","0.00%"
